epoch,lr,train_loss,val_loss
149.0,0.001,2.148039188715491,3.5371862935348295
150.0,0.001,2.145060571113435,3.5526331703907528
151.0,0.001,2.1406596179055697,3.5506270924804197
152.0,0.001,2.145632301226701,3.5472840053934447
153.0,0.001,2.1313685757098813,3.540907936556718
154.0,0.001,2.1492937165911834,3.5382221834040744
155.0,0.001,2.118701162904796,3.5763195410100987
156.0,0.001,2.1307236463716714,3.560241924685012
157.0,0.001,2.1063114416481246,3.5620876106937645
158.0,0.001,2.106216137952144,3.5616628965381647
159.0,0.001,2.0962327270224543,3.569684050692399
160.0,0.001,2.094746239114516,3.580939898308614
161.0,0.001,2.1118651227195664,3.574190479409047
162.0,0.001,2.094120180252755,3.5771861546476122
